"First Name","Last Name","Email","Phone","Accepts Email Marketing","Default Address Company","Default Address Address1","Default Address Address2","Default Address City","Default Address Province Code","Default Address Country Code","Default Address Zip","Default Address Phone","Tags","Tax Exempt","Note"
"","","joseph.jones@aol.com","+15002205025","no","Maple Tech Inc","145 King St W","","Toronto","ON","CA","K8Z 8M6","+15002205025","migrated, wholesale, tier-tier-1, tax-exempt","TRUE","Net-30 terms. Tier 1 pricing."
"","","ashley.jones@yahoo.com","+19399115954","no","Jones Enterprises","22 Baker Street","","London","ENG","GB","26246","+19399115954","migrated, wholesale, tier-tier-3, tax-exempt","TRUE","Net-30 terms. Tier 3 pricing."
"","","joseph.stewart@me.com","+18635731546","no","Sydney AV Supplies","88 George St","","Sydney","NSW","AU","12020","+18635731546","migrated, wholesale, tier-tier-1","FALSE","Net-30 terms. Tier 1 pricing."
"","","carol.parker@comcast.net","+16687577402","no","Parker Enterprises","15 Rue de Rivoli","","Paris","IDF","FR","74675","+16687577402","migrated, wholesale, tier-tier-2","FALSE","Net-30 terms. Tier 2 pricing."
"","","matthew.jones@yahoo.com","+13018156343","no","EZQ Distributor GmbH","Unter den Linden 10","","Berlin","BE","DE","82417","+13018156343","migrated, wholesale, tier-tier-2","FALSE","Net-30 terms. Tier 2 pricing."
"","","richard.white@gmail.com","+18976654030","no","","3340 Meadow Ln","","Philadelphia","PA","US","27342","+18976654030","migrated","FALSE","Returning customer. Handle with care."
"","","ronald.garcia@mac.com","+16072933191","no","","4330 Ridge Rd","","San Francisco","CA","US","20673","+16072933191","migrated","FALSE",""
"","","anthony.taylor@hotmail.com","+15213222136","no","","8818 Willow Way","","Columbus","OH","US","85552","+15213222136","migrated","FALSE",""
"","","stephanie.wright@live.com","+18393344479","no","","456 Oak Ave","","Dallas","TX","US","98085","+18393344479","migrated","FALSE",""
"","","brian.collins@yahoo.com","+17184935269","no","","5300 Cedar Ln","","San Antonio","TX","US","11118","+17184935269","migrated","FALSE",""
"","","emily.green@comcast.net","","no","","3798 Hill Rd","","Phoenix","AZ","US","31187","","migrated","FALSE",""
"","","donald.reyes@gmail.com","not-a-phone","no","","5411 River Rd","","Philadelphia","PA","US","98192","not-a-phone","migrated","FALSE",""
"","","sarah.adams@comcast.net","+12306603729","no","","3393 Forest Ave","","New York","NY","US","97509","+12306603729","migrated","FALSE",""
"","","betty.jackson@live.com","+17906299968","no","","343 Willow Way","","Austin","TX","US","91369","+17906299968","migrated","FALSE",""
"","","michelle.williams@aol.com","+14826606137","no","","2496 Ridge Rd","Apt 94","Fort Worth","TX","US","50326","+14826606137","migrated","FALSE",""
"","","ashley.brown@yahoo.com","+19797346387","no","","2564 Cedar Ln","","Chicago","IL","US","48710","+19797346387","migrated","FALSE",""
"","","jessica.collins@me.com","+13173861929","no","","6553 Ridge Rd","","Jacksonville","FL","US","34974","+13173861929","migrated","FALSE",""
"","","joshua.rivera@me.com","+16188027160","no","","6926 Hill Rd","","Philadelphia","PA","US","75750","+16188027160","migrated","FALSE",""
"","","ronald.evans@me.com","+15492418452","no","","5883 River Rd","","Houston","TX","US","10764","+15492418452","migrated","FALSE",""
"","","ronald.campbell@comcast.net","+13228539709","no","","4997 Sunset Blvd","","Chicago","IL","US","23038","+13228539709","migrated","FALSE","Returning customer. Handle with care."
"","","susan.morris@live.com","+19368435161","no","","8629 Washington Blvd","","New York","NY","US","39579","+19368435161","migrated","FALSE",""
"","","nancy.edwards@gmail.com","+17572488390","no","","915 Ridge Rd","Apt 26","Columbus","OH","US","87388","+17572488390","migrated","FALSE",""
"","","kenneth.wilson@outlook.com","+13562495587","no","","7596 Hill Rd","","Nashville","TN","US","74371","+13562495587","migrated","FALSE",""
"","","susan.allen@me.com","+17189994111","no","","2714 Stone Ave","","Jacksonville","FL","US","69607","+17189994111","migrated","FALSE",""
"","","sandra.jones@gmail.com","+18053012298","no","","8710 Lincoln Ave","","Charlotte","NC","US","50528","+18053012298","migrated","FALSE",""
"","","jessica.thomas@gmail.com","+18645135896","no","","7631 Lake Dr","","New York","NY","US","49831","+18645135896","migrated","FALSE",""
"","","ashley.davis@aol.com","+18179966057","no","","4743 Cedar Ln","","Phoenix","AZ","US","47372","+18179966057","migrated","FALSE",""
"","","lisa.edwards@aol.com","+13007658174","no","","5466 Elm St","","Phoenix","AZ","US","40955","+13007658174","migrated","FALSE",""
"","","kimberly.wilson@me.com","+14346882388","no","","3586 Meadow Ln","","Dallas","TX","US","71419","+14346882388","migrated","FALSE","Returning customer. Handle with care."
"","","kenneth.anderson@live.com","+17838844010","no","","6467 Ridge Rd","Apt 5","San Jose","CA","US","60052","+17838844010","migrated","FALSE",""
"","","thomas.evans@hotmail.com","+14377264336","no","","3009 Elm St","Apt 87","Denver","CO","US","80787","+14377264336","migrated","FALSE","Returning customer. Handle with care."
"","","george.flores@icloud.com","+13529193705","no","","3933 Meadow Ln","Apt 42","Denver","CO","US","54095","+13529193705","migrated","FALSE",""
"","","ashley.garcia@gmail.com","+15283941492","no","","1284 Meadow Ln","","Indianapolis","IN","US","68199","+15283941492","migrated","FALSE",""
"","","nancy.wilson@gmail.com","+19807728976","no","","5704 Elm St","Apt 86","Jacksonville","FL","US","15955","+19807728976","migrated","FALSE",""
"","","donald.miller@aol.com","+19229353810","no","","6879 Forest Ave","Apt 61","Fort Worth","TX","US","62616","+19229353810","migrated","FALSE",""
"","","brian.edwards@comcast.net","+18004735076","no","","3358 Cherry St","","Jacksonville","FL","US","80036","+18004735076","migrated","FALSE",""
"","","karen.wilson@me.com","+19684915621","no","","3433 Lake Dr","","San Jose","CA","US","59540","+19684915621","migrated","FALSE",""
"","","lisa.hill@yahoo.com","+16885246451","no","","6324 Pine St","Apt 69","Phoenix","AZ","US","90150","+16885246451","migrated","FALSE",""
"","","mark.jackson@aol.com","+17549383220","no","","74 Lincoln Ave","Apt 73","Denver","CO","US","21412","+17549383220","migrated","FALSE",""
"","","melissa.thomas@yahoo.com","+14647929207","no","","4605 Forest Ave","Apt 97","Charlotte","NC","US","21489","+14647929207","migrated","FALSE",""
"","","amanda.green@comcast.net","+15614048529","no","","9698 Hill Rd","","Seattle","WA","US","19898","+15614048529","migrated","FALSE",""
"","","donna.jones@comcast.net","+16363819319","no","","4818 Willow Way","","San Francisco","CA","US","57587","+16363819319","migrated","FALSE",""
