"Order ID","Email","Unmapped SKUs","Reported Total","Calculated Total"
"ORD-10000","susan.allen@me.com","SHOPSITE-999","443.83","443.83"
"ORD-10005","lisa.edwards@aol.com","OLD-DOCK-V1;LEGACY-XYZ","125.22","125.22"
"ORD-10024","ashley.davis@aol.com","DISCONTINUED-001","81.5","81.5"
"ORD-10027","anthony.taylor@hotmail.com","SHOPSITE-999;SHOPSITE-999","480.47","480.47"
"ORD-10031","michelle.williams@aol.com","LEGACY-XYZ","274.24","274.24"
"ORD-10037","ronald.campbell@comcast.net","LEGACY-XYZ","215.72","215.72"
"ORD-10039","emily.green@comcast.net","OLD-DOCK-V1","507.5","507.5"
"ORD-10042","nancy.edwards@gmail.com","UNKNOWN-SKU","101.48","101.48"
"ORD-10043","donald.reyes@gmail.com","LEGACY-XYZ","141.44","141.44"
"ORD-10044","nancy.wilson@gmail.com","DISCONTINUED-001","268.84","268.84"
"ORD-10048","ronald.garcia@mac.com","LEGACY-XYZ","494.53","494.53"
"ORD-10057","mark.flores46@me.com","UNKNOWN-SKU;LEGACY-XYZ","164.1","164.1"
"ORD-10060","karen.wilson@me.com","SHOPSITE-999","116.61","116.61"
"ORD-10061","kenneth.anderson@live.com","DISCONTINUED-001","199.75","199.75"
"ORD-10062","joseph.stewart@me.com","OLD-DOCK-V1","229.94","229.94"
"ORD-10066","thomas.evans@hotmail.com","UNKNOWN-SKU","651.99","651.99"
"ORD-10071","william.roberts48@hotmail.com","LEGACY-XYZ","328.24","328.24"
"ORD-10075","mark.jackson@aol.com","UNKNOWN-SKU","175.99","175.99"
